-2.0928 -0.1176 -1.6911 -0.117 -0.3892 0.0891 -0.3892 0.0891 1.8926 11.2244 1.8926 11.2244 7.8111 7.4338 1.8926 11.2244 PASS
-2.0315 -0.0702 -1.6388 -0.0966 -0.3913 0.0897 -0.3913 0.0897 1.8923 11.2245 1.8923 11.2245 1.8923 11.2245 7.7089 -7.8382 DRIBBLE
-1.1142 -0.0305 -1.6193 -0.088 -0.1192 0.0439 -0.1192 0.0439 7.413 7.4734 7.413 7.4734 7.413 7.4734 7.3408 -7.9046 DRIBBLE
-0.3936 0.003 0.2476 -0.0222 -1.6116 -0.0847 -1.6116 -0.0847 10.0902 -0.2881 6.812 7.4798 6.812 7.4798 10.0902 -0.2881 PASS
0.2558 -0.6439 0.4365 -0.0567 -1.6087 -0.0832 -1.6087 -0.0832 9.3351 -0.305 9.3351 -0.305 9.3351 -0.305 1.2756 -12.8913 DRIBBLE
0.8465 -1.2503 0.5236 -0.0701 -1.8369 -0.1923 -1.8369 -0.1923 8.5147 -0.3014 8.5147 -0.3014 8.5147 -0.3014 6.0707 7.5727 DRIBBLE
1.405 -1.8225 0.8159 -0.5211 -1.9177 -0.2366 -1.9177 -0.2366 7.639 -0.3179 7.639 -0.3179 7.639 -0.3179 5.522 7.7928 DRIBBLE
1.918 -2.3677 1.2913 -1.1217 -2.1406 -0.5615 -2.1406 -0.5615 6.7997 -0.3402 6.7997 -0.3402 6.7997 -0.3402 4.9117 7.9754 DRIBBLE
2.372 -2.8966 1.7985 -1.8445 -2.4422 -1.0222 -2.4422 -1.0222 5.9672 -0.3389 5.9672 -0.3389 5.9672 -0.3389 4.3385 8.1882 DRIBBLE
2.7978 -3.3891 2.3236 -2.6405 -2.5622 -1.2062 0.0614 -7.8823 5.1516 -0.3458 5.1516 -0.3458 5.1516 -0.3458 4.0993 8.2834 DRIBBLE
3.1363 -3.9026 2.5969 -3.0089 -2.8171 -1.3933 0.2242 -8.4562 4.3572 -0.4065 4.3572 -0.4065 4.3572 -0.4065 3.733 8.6182 DRIBBLE
3.4813 -4.3746 2.9885 -3.6183 0.3888 -8.9321 0.3888 -8.9321 3.5719 -0.3997 3.5719 -0.3997 3.5719 -0.3997 -1.2133 -16.5259 DRIBBLE
3.7845 -4.832 3.45 -4.3896 0.6081 -9.5427 0.6081 -9.5427 3.2184 -0.3864 3.2184 -0.3864 3.2184 -0.3864 -1.4113 -17.2247 DRIBBLE
4.1723 -5.4857 3.6728 -4.7714 0.851 -10.2307 0.851 -10.2307 2.6947 -0.5044 3.5417 -10.4458 3.5417 -10.4458 2.6947 -0.5044 DRIBBLE
4.5279 -6.1193 4.0538 -5.3751 0.966 -10.5173 0.966 -10.5173 2.0624 -0.6869 3.4756 -10.9146 3.4756 -10.9146 2.0624 -0.6869 DRIBBLE
6.6723 -25.9291 6.7853 -26.2972 0.1244 -14.3936 0.1244 -14.3936 14.4342 -21.2013 14.4342 -21.2013 4.0291 -16.1065 14.4342 -21.2013 PASS
7.4902 -25.8959 6.7816 -26.2952 0.1151 -14.8935 0.1151 -14.8935 14.6101 -21.8195 14.6101 -21.8195 14.6101 -21.8195 4.1594 -16.7782 DRIBBLE
8.2581 -25.8629 7.3375 -26.1905 0.1083 -15.3639 0.1083 -15.3639 14.8087 -22.4865 14.8087 -22.4865 14.8087 -22.4865 4.2236 -17.0894 DRIBBLE
8.9588 -25.8436 8.1211 -26.058 0.1156 -15.9157 0.1156 -15.9157 15.0241 -23.0993 15.0241 -23.0993 15.0241 -23.0993 4.4309 -17.5594 DRIBBLE
9.1372 -26.6406 8.413 -26.017 0.1528 -16.4032 0.1528 -16.4032 15.2501 -23.7408 15.2501 -23.7408 15.2501 -23.7408 4.7146 -18.0614 DRIBBLE
9.2927 -27.3853 8.5295 -26.0079 0.1839 -16.6088 0.1839 -16.6088 15.3368 -23.9822 15.3368 -23.9822 15.3368 -23.9822 5.0152 -18.5714 DRIBBLE
9.5813 -28.7316 9.1777 -27.2437 0.6065 -17.5789 0.6065 -17.5789 15.9201 -24.8447 15.9201 -24.8447 15.9201 -24.8447 5.4874 -19.4636 DRIBBLE
9.7021 -29.3245 9.525 -28.0243 0.8393 -18.1882 0.8393 -18.1882 16.3248 -25.3791 16.3248 -25.3791 16.3248 -25.3791 5.8298 -19.8479 DRIBBLE
9.8392 -29.8866 9.9088 -28.8626 1.1059 -18.8295 1.1059 -18.8295 16.706 -25.9212 16.706 -25.9212 16.706 -25.9212 6.2214 -20.2654 DRIBBLE
9.9701 -30.4362 10.3179 -29.6385 1.3001 -19.3007 1.3001 -19.3007 17.0717 -26.4187 17.0717 -26.4187 17.0717 -26.4187 6.6897 -20.7176 DRIBBLE
10.6924 -30.8655 10.4714 -29.9685 1.487 -19.7434 1.487 -19.7434 17.4441 -26.9651 17.4441 -26.9651 17.4441 -26.9651 7.2116 -21.1988 DRIBBLE
11.3574 -31.279 10.5421 -30.1 1.5665 -19.9358 1.5665 -19.9358 17.8686 -27.4613 17.8686 -27.4613 17.8686 -27.4613 7.7083 -21.636 DRIBBLE
11.9824 -31.6676 10.9715 -30.5743 1.8891 -20.2896 1.8891 -20.2896 18.0337 -27.6617 18.0337 -27.6617 18.0337 -27.6617 8.2532 -22.0438 DRIBBLE
12.5772 -32.0546 11.5531 -31.1336 2.3193 -20.7218 2.3193 -20.7218 18.4982 -27.7923 18.4982 -27.7923 18.4982 -27.7923 8.8032 -22.4802 DRIBBLE
